"timestamp","cpu","ram","sockets","net_speed","threads","label"
"1767023915.7757528","9.6","92.3","2005","1924918","4159","0"
"1767023918.6199799","7.3","92.4","2003","1861692","4127","0"
"1767023920.8940961","13.6","93.3","2013","1804689","4204","0"
"1767023923.075758","5.5","93.9","2015","493332","4244","0"
"1767023925.1215584","4.6","93.9","2015","107264","4238","0"
"1767023927.3153915","7.0","93.9","2015","217895","4225","0"
"1767023929.6136487","5.7","93.2","2017","57588","4217","0"
"1767023932.5457623","13.6","94.1","2024","618592","4252","0"
"1767023935.3713386","8.9","94.7","2026","1307688","4285","0"
"1767023938.0663483","7.5","93.9","2026","612443","4285","0"
"1767023941.2842355","13.7","92.8","2026","1579094","4279","0"
"1767023944.4456096","20.7","91.1","2028","1950469","4270","0"
"1767023947.1880813","7.8","91.2","2030","939612","4271","0"
"1767023949.9212413","12.2","90.3","2020","1382549","4258","0"
"1767023952.7028673","6.6","90.5","2019","962088","4247","0"
"1767023955.5287018","11.2","90.9","2019","888685","4232","0"
"1767023958.3907187","8.4","90.7","2021","888755","4213","0"
"1767023960.9981358","8.5","90.6","2016","1167935","4212","0"
"1767023963.3426404","5.2","90.5","2008","1160555","4199","0"
"1767023966.0592496","8.9","90.2","2004","761784","4198","0"
"1767023968.7402792","18.4","90.0","2003","1575131","4195","0"
"1767023971.668797","13.0","88.0","2003","1572148","4174","0"
"1767023975.0753741","20.3","88.2","1999","1625492","4164","0"
"1767023977.700746","10.0","88.4","2003","1854730","4147","0"
"1767023980.4018347","12.9","89.6","2007","670487","4203","0"
"1767023983.1659658","17.1","89.2","2006","1577999","4183","0"
"1767023986.1871955","16.8","89.2","2005","1419621","4173","0"
"1767023989.1254911","11.1","89.1","2003","1882022","4164","0"
"1767023991.9527357","14.5","88.6","2001","1380486","4161","0"
"1767023994.1182046","5.4","88.7","2001","841560","4160","0"
"1767023996.2890472","5.0","88.9","2004","158227","4160","0"
"1767023998.3383975","4.7","88.9","2006","415057","4164","0"
"1767024000.4241161","4.8","88.9","2005","244149","4166","0"
"1767024002.4176152","4.5","88.9","2005","259860","4166","0"
"1767024004.8161561","5.5","89.4","2002","328181","4166","0"
"1767024008.550936","17.0","89.2","1995","1165823","4125","0"
"1767024012.0355215","12.9","89.3","1993","2417901","4125","0"
"1767024015.4209435","9.3","89.5","1994","2161862","4124","0"
"1767024018.1221406","11.3","89.9","1996","1622142","4124","0"
"1767024021.2732778","10.3","90.0","1994","1554152","4123","0"
"1767024023.3914096","4.7","89.9","1993","1384265","4097","0"
"1767024025.4225934","4.5","89.8","1993","369773","4090","0"
"1767024027.462825","4.3","89.8","1992","37677","4090","0"
"1767024029.4812436","4.6","89.1","1992","38044","4089","0"
"1767024031.5349884","4.6","88.8","1992","36158","4064","0"
"1767024033.5918188","6.6","87.6","1992","15125","4065","0"
"1767024035.602931","4.5","87.6","1992","55","4074","0"
"1767024037.6613567","4.6","87.5","1992","2862","4068","0"
"1767024039.7965107","5.7","88.2","1996","1457","4089","0"
"1767024041.8410947","5.2","88.0","1996","15598","4088","0"
"1767024043.8608122","4.5","88.0","1996","338","4088","0"
"1767024045.8433883","4.5","88.0","1996","4841","4083","0"
"1767024047.864386","4.5","88.0","1993","246","4082","0"
"1767024049.9354641","4.5","88.0","1993","97","4075","0"
"1767024051.9672253","4.4","88.0","1992","161","4078","0"
"1767024054.017715","4.4","87.8","1992","399","4077","0"
"1767024056.0277944","4.5","87.7","1992","582","4076","0"
"1767024058.027671","5.3","88.1","1992","39921","4086","0"
"1767024060.0114377","4.5","88.1","1992","52030","4087","0"
"1767024062.6795328","6.9","88.4","1992","249005","4099","0"
"1767024066.1069908","9.7","88.5","1992","1628976","4098","0"
"1767024068.9933271","14.7","87.9","1989","2049426","4099","0"
"1767024071.2812543","9.8","86.0","1989","1397619","4093","0"
"1767024073.4958746","6.9","86.5","1991","240996","4095","0"
"1767024075.5601525","4.9","86.5","1991","62710","4098","0"
"1767024077.5616543","4.6","86.5","1991","78993","4095","0"
"1767024079.5739408","4.3","86.5","1991","39881","4092","0"
"1767024081.6121","4.6","86.5","1991","36482","4092","0"
"1767024083.6385953","5.7","86.3","1991","32500","4090","0"
"1767024086.0361059","6.1","86.4","1991","141","4089","0"
"1767024088.4824443","6.4","86.5","1990","139313","4071","0"
"1767024091.1892667","10.6","85.8","1990","1269873","4045","0"
"1767024093.179974","5.2","85.5","1990","938294","4041","0"
"1767024095.1900654","4.7","85.6","1990","69049","4042","0"
"1767024097.201112","4.3","85.6","1991","39235","4044","0"
"1767024099.4144","7.5","87.3","1995","46320","4045","0"
"1767024101.4626193","5.0","87.3","1993","56762","4097","0"
"1767024103.7010345","5.0","86.8","1991","9091","4087","0"
"1767024107.5269468","21.9","86.5","1991","752575","4078","0"
