timestamp,cpu,ram,label
1769803348.2722986,16.7,87.2,1
1769803349.273847,14.3,87.2,1
1769803350.279125,12.8,87.3,1
1769803351.2809603,26.8,87.5,1
1769803352.2828171,28.0,88.6,1
1769803353.284398,20.6,87.8,1
1769803354.286358,15.2,87.8,1
1769803355.2887297,12.7,87.8,1
1769803356.2908218,12.2,87.8,1
1769803357.2922726,14.3,87.8,1
1769803358.2943828,11.7,87.9,1
1769803359.296421,15.2,87.9,1
1769803360.297839,20.1,88.0,1
1769803361.2995212,14.6,87.8,1
1769803362.3017097,17.4,87.8,1
1769803363.302621,17.8,87.8,1
1769803364.3036215,13.3,87.7,1
1769803365.3048422,15.7,87.6,1
1769803366.3057408,23.0,87.6,1
1769803367.306943,14.6,87.5,1
1769803368.3084145,13.9,87.6,1
1769803369.3104985,14.9,87.4,1
1769803370.3119986,23.8,87.5,1
1769803371.3133738,12.7,87.5,1
1769803372.3148093,14.2,86.7,1
1769803373.3163962,15.9,86.7,1
1769803374.3177714,14.6,86.3,1
1769803375.3191514,17.3,86.4,1
1769803376.3205469,16.0,86.4,1
1769803377.3224785,16.5,87.3,1
1769803378.324203,20.2,87.6,1
1769803379.3260462,20.3,87.5,1
1769803380.3277814,24.9,87.5,1
1769803381.3296955,26.1,87.6,1
1769803382.331328,25.9,87.8,1
1769803383.3324275,17.9,87.4,1
1769803384.3346908,14.0,87.3,1
1769803385.336549,14.5,87.4,1
1769803386.3399487,15.7,87.2,1
1769803387.34162,16.9,87.0,1
1769803388.3438663,17.0,87.1,1
1769803389.3458712,11.5,87.1,1
1769803390.347414,13.0,87.1,1
1769803391.3489797,14.8,87.1,1
1769803392.3510313,20.5,87.2,1
1769803393.3529227,16.4,87.2,1
1769803394.3554742,13.7,87.1,1
1769803395.3575628,13.0,87.1,1
1769803396.3591478,13.7,87.2,1
1769803397.36073,12.6,87.1,1
1769803398.3618002,11.4,87.0,1
1769803399.3637376,17.8,87.1,1
1769803400.3656478,18.1,87.1,1
1769803401.3677716,12.7,87.2,1
1769803402.3694277,12.8,87.1,1
1769803403.3715277,12.2,87.1,1
1769803404.373813,12.1,87.2,1
1769803405.3758638,19.0,87.2,1
1769803406.377789,13.6,87.0,1
1769803407.3799992,12.8,87.1,1
1769803408.3823795,13.0,87.1,1
1769803409.3838286,11.8,87.1,1
1769803410.386055,24.1,87.2,1
1769803411.3898911,21.0,87.2,1
1769803412.3916736,15.9,87.1,1
1769803413.3936985,11.5,87.1,1
1769803414.395585,11.8,87.0,1
1769803415.3974164,16.0,87.0,1
1769803416.3994486,12.5,87.1,1
1769803417.4014232,17.6,87.0,1
1769803418.4034314,11.9,87.0,1
1769803419.4059322,12.5,87.1,1
1769803420.4076385,10.7,87.1,1
1769803421.409585,13.9,87.0,1
1769803422.4121566,13.4,87.0,1
1769803423.4144442,11.4,87.0,1
1769803424.4161649,13.2,87.0,1
1769803425.4177833,17.3,87.1,1
1769803426.4200008,14.2,87.0,1
1769803427.4231443,14.5,87.1,1
1769803428.4248912,18.7,87.1,1
1769803429.4267352,18.7,87.0,1
1769803430.4281127,17.5,87.0,1
1769803431.4301636,15.2,87.1,1
1769803432.4321284,16.1,86.5,1
1769803433.4344091,14.5,86.4,1
1769803434.436606,16.6,86.4,1
1769803435.4392397,16.3,86.5,1
1769803436.4412613,14.5,86.4,1
1769803437.4424336,15.3,86.4,1
1769803438.4444308,15.0,86.4,1
1769803439.4461143,22.1,86.4,1
1769803440.4479647,17.4,86.7,1
1769803441.450199,27.8,87.3,1
1769803442.4521093,43.1,89.1,1
1769803443.454326,24.3,88.1,1
1769803444.4565375,23.0,88.6,1
1769803445.458141,22.5,88.7,1
1769803446.4603868,13.9,88.7,1
1769803447.4619024,17.6,88.7,1
1769803448.4636965,13.4,88.6,1
1769803449.4654703,13.3,88.7,1
1769803450.467943,25.0,88.6,1
1769803451.470285,15.3,88.5,1
1769803452.472549,16.3,88.5,1
1769803453.4741883,16.0,88.6,1
1769803454.475932,12.8,88.5,1
1769803455.4777684,11.9,88.5,1
1769803456.4801137,14.9,88.5,1
1769803457.4818447,19.4,88.6,1
1769803458.483744,35.0,88.7,1
1769803459.4854054,27.2,88.6,1
1769803460.4876795,22.1,88.6,1
1769803461.4892316,19.3,88.6,1
1769803462.4909263,22.4,88.6,1
1769803463.4925995,10.9,88.7,1
1769803464.4944825,14.9,88.6,1
1769803465.4959946,11.8,88.6,1
1769803466.497216,10.2,88.6,1
1769803467.4996521,11.3,88.8,1
1769803468.5021622,14.2,88.8,1
1769803469.5033247,13.2,89.0,1
1769803470.505581,11.5,89.0,1
1769803471.5075305,19.2,89.0,1
1769803472.5097635,13.6,88.9,1
1769803473.5113966,12.6,88.7,1
